fun-fact,notes,topic,story-name,story-link,source,1st Round Fun Fact Approval  (put your name),Dr. Via Approval
"Our purpose at FinMango is to build connections that really matter. Interested in learning more about our purpose, values, and culture? ",,FinMango ,,https://culture.finmango.org/,,,
Did you know that you can keep up with us on our FinMango blog? ,,FinMango ,,https://finmango.substack.com/,,,
FinMango's story started in a class discussion at Kent State University in Ohio in 2014. ,,FinMango ,,https://timeline.finmango.org/,,,
"If you do not start investing until 45, you will need to put in three times as much money as if you had started at 25 to make the same amount in the long-run .",I reworded to make it more clear that it is about investing ,Investing ,Why Do People Invest? ,https://finlit.finmango.org/what-is-investing/,https://financiallysimple.com/24-interesting-investing-statistics-you-must-know/,Katherine,
90% of actively managed funds underperform passive funds,,Investing ,,https://finlit.finmango.org/what-is-investing/,,,
"As of January 2013, 16 people born in the 1800s were still alive, according ot a research group. With dividends reinvested, US stocks have increased 28,000 fold during their lifetimes.",,Investing ,,https://finlit.finmango.org/what-is-investing/,,,
"If you invested $100 in Amazon 20 years ago, you'd have $50,000",,Investing ,,https://finlit.finmango.org/what-is-investing/,https://www.wisebread.com/8-startling-facts-that-will-make-you-want-to-invest,,
"The stock market got the names “bear and bull” because of caballeros (Spanish knights) in California. The caballeros put California grizzlies in battle with bulls. They observed bears swiped downward and bulls hooked upward, thus lending the analogy. This led to the California grizzly’s extinction.",,Investing ,,https://finlit.finmango.org/what-is-investing/,https://altitudews.com.au/14-amazing-facts-about-the-stock-market/,,
"36% of Americans have $1,000 in retirement savings, according to The Employee Benefit Research Institute",,Investing ,,https://finlit.finmango.org/what-is-investing/,https://www.businessinsider.com/personal-finance/7-financial-facts-about-americans-that-may-surprise-you-2014-4,,
"The average American household has over $16,000 of credit card debt",,Credit ,,,https://toughnickel.com/personal-finance/25-Facts-about-Consumer-Spending-and-Debt-in-America,,
"The stock markets help to raise money for companies when they need capital to expand, and this in turn creates the potential for investors to make money on stocks.",,Investing ,,https://finlit.finmango.org/what-is-investing/,"https://www.softschools.com/facts/business/stock_market_facts/2823/#:~:text=The%20world's%20oldest%20stock%20market,it%20costs%20millions%20of%20dollars.",,
"September is usually the poorest performing month in the stock market, often blamed on vacations that investors take in the summer months that decreases trading.",,Investing ,,https://finlit.finmango.org/what-is-investing/,,,
"The New York Stock Exchange was founded in 1792, when several stockbrokers stood on Wall Street under a buttonwood tree and signed an agreement called the 'Buttonwood Agreement' to start the New York Stock Exchange. It wasn't until 1817 that is was officially founded as the NYSE.",,Investing ,,https://finlit.finmango.org/what-is-investing/,,,
"Canada's stock market is electronic. So nobody has to shout on the trading floor, like we often see in movies that show the New York Stock Exchange.",,Investing ,,https://finlit.finmango.org/what-is-investing/,,,
"Stocks are known as shares in a company. If a company issues 100 shares, and you own 10 shares, then you own 10% of the company.",,Investing ,,https://finlit.finmango.org/what-is-investing/,,,
"In November 2020, total market capitalization reached a record $95 trillion, surpassing pre-coronavirus levels.",,Investing ,,https://finlit.finmango.org/what-is-investing/,,,
"Since 1903, every day at the New York Stock Exchange starts with the ringing of a bell at 9:30 a.m.",,Investing ,,https://finlit.finmango.org/what-is-investing/,,,
52% of US adults have money in the stock market,,Investing ,,https://finlit.finmango.org/what-is-investing/,https://investedwallet.com/stock-market-statistics/,,
The wealthiest 10% of Americans own 84% of the stock market.,,Investing ,,https://finlit.finmango.org/what-is-investing/,,,
Mom and Pop traders now account for almost as much trading as all hedge funds and mutual funds combined.,,Investing ,,https://finlit.finmango.org/what-is-investing/,https://www.axios.com,,
"Since 1950, whenever the S&P 500 is up between 5% and 10% in the first quarter, the rest of the year gains, on average, are another 12.4% and were higher 86.7% of the time.",,Investing ,,https://finlit.finmango.org/what-is-investing/,https://www.nasdaq.com/articles/2-strong-buy-stocks-around-%2410-with-triple-digit-upside-potential-2021-04-16,,
"Forty-three million Americans have student loan debt, owing a collective $1.7 TRILLION dollars ",,Credit ,,https://finlit.finmango.org/types-student-aid,https://www.nerdwallet.com/article/loans/student-loans/student-loan-debt,,
,,Investing ,,,,,
,,Investing ,,,,,
"Retirement accounts such as IRAs, Roth IRAs, and 401(k)s can save on taxes.",,Investing ,,,,,
"If you make money on an investment, you are only required to pay taxes on the capital gains (or the extra money earned), not the original amount you invested.",,Investing ,,,,,
The capital gains tax rate is lower if you hold on to an investment for at least 1 year before selling!,,Investing ,,https://wallethacks.com/investing-facts-statistics/,,,
,,Investing ,Compounding,,,,
,,Investing ,Compounding,,,,
,,Investing ,Compounding,,,,
,,Investing ,Compounding,,,,
